Team,Champion,Year,eFG,TOV,RB,FT
Chicago Bulls,Yes,1996,51.1,14.6,52.9,74.7
Miami Heat,No,1996,50.7,17.5,50.3,71.9
Utah Jazz,No,1996,53.1,16.5,51.9,76.9
Houston Rockets,No,1996,52,17.5,51,75.5
Chicago Bulls,Yes,1997,47.3,15.5,53.1,74.3
Utah Jazz,No,1997,51,16.6,52.9,77.3
Indiana Pacers,No,1997,50.2,15.7,48.9,76.4
Los Angeles Lakers,No,1997,51.9,15.9,50.6,67.9
San Antonio Spurs ,Yes,1998,47.9,16.6,51.1,69.8
New York Knicks,No,1998,46.3,17.9,50.2,73.2
Indiana Pacers,No,1998,48.6,14.5,49.7,79.6
Portland Trailblazers,No,1998,47.3,16.5,52.5,74.3
Los Angeles Lakers,Yes,1999,48.4,14.5,52.1,69.6
Indiana Pacers,No,1999,50.3,14.8,49.1,81.1
New York Knicks,No,1999,48.2,15.9,49.7,78.1
Portland Trailblazers,No,1999,50.1,16.4,52.4,76
Los Angeles Lakers,Yes,2000,49.8,15.2,52,68.3
Philadelphia 76ers,No,2000,46.8,16.8,52.3,74.5
San Antonio Spurs ,No,2000,49.6,15.2,51.5,71.5
Milwaukee Bucks,No,2000,49.4,14.5,49.8,78.7
Los Angeles Lakers,Yes,2001,49.8,13.3,50.6,69.9
New Jersey Nets,No,2001,47.6,15.2,50.3,73.5
Boston Celtics,No,2001,47.6,14.3,47.9,76.4
Sacremento Kings,No,2001,49.7,14,50.2,75.1
San Antonio Spurs ,Yes,2002,49.7,17,51.1,72.5
New Jersey Nets,No,2002,46.8,15.6,50.9,75.7
Dallas Mavericks,No,2002,49.8,12.1,48.1,82.9
Detroit Pistons,No,2002,47.3,14.9,49.6,77.1
Detroit Pistons,Yes,2003,46.1,16.6,51.3,75.3
Los Angeles Lakers,No,2003,48.1,14.4,50.4,69.3
Indiana Pacers,No,2003,47.1,15.9,50.9,76.4
Minnesota Timberwolves,No,2003,48.6,13.9,50.9,78.1
San Antonio Spurs ,Yes,2004,49.2,15,51.3,72.4
Detroit Pistons,No,2004,47.2,15.2,52.3,73.9
Phoenix Suns,No,2004,53.4,13.9,48.9,78.4
Miami Heat,No,2004,52.4,14.6,51.5,67.2
Miami Heat,Yes,2005,51.7,15.4,52.6,70
Dallas Mavericks,No,2005,49.5,14.9,52.4,78.3
Phoenix Suns,No,2005,53.7,13.4,47.7,80.6
Detroit Pistons,No,2005,49.7,12.6,49.8,72.7
San Antonio Spurs ,Yes,2006,52.1,15,51,75.1
Cleveland Caveliers,No,2006,48.4,15.2,52.2,69.6
Utah Jazz,No,2006,50.2,16.4,53.4,74.3
Detroit Pistons,No,2006,48.8,13.5,49.6,77.4
Boston Celtics,Yes,2007,52.2,16.3,51.9,77.1
Los Angeles Lakers,No,2007,52.5,14.3,50.8,76.9
San Antonio Spurs ,No,2007,50.4,13.9,50.6,76.1
Detroit Pistons,No,2007,49.5,12.9,51.4,76.7
Los Angeles Lakers,Yes,2008,51.3,13.8,51.4,77
Orlando Magic,No,2008,52,14.8,50.7,71.5
Denver Nuggets,No,2008,51.2,15.8,50.2,76
Cleveland Caveliers,No,2008,51.9,13.9,52,75.7
Los Angeles Lakers,Yes,2009,49.6,13.9,51.2,76.5
Boston Celtics,No,2009,52.2,15.8,49.1,74.6
Phoenix Suns,No,2009,54.6,15.1,50.4,77
Orlando Magic,No,2009,53.6,15,51.9,72.4
Dallas Mavericks,Yes,2010,52.5,15,50.4,77.7
Miami Heat,No,2010,52.4,14.9,51.8,76.9
Chicago Bulls,No,2010,50.1,15.1,53.5,74.3
Oklahoma City Thunder,No,2010,50.1,14.6,51.3,82.3
Miami Heat,Yes,2011,50.5,16.1,51.1,77.5
Oklahoma City Thunder,No,2011,51.6,17,51.4,80.6
Boston Celtics,No,2011,49.6,16,47.3,77.8
San Antonio Spurs ,No,2011,52.8,14.2,51.1,74.8
Miami Heat,Yes,2012,55.2,15,49,75.4
San Antonio Spurs ,No,2012,53.1,15.1,49.3,79.1
Indiana Pacers,No,2012,47.9,16.2,52.9,74.6
Memphis Grizzlies,No,2012,47.2,15.2,52.2,77.3
San Antonio Spurs ,Yes,2013,53.7,14.8,50.6,78.5
Miami Heat,No,2013,55.4,15.8,47.8,76
Indiana Pacers,No,2013,49,15.8,52.1,77.9
Oklahoma City Thunder,No,2013,52,15.6,52.2,80.6
Golden State Warriors,Yes,2014,54,14.4,50.1,76.8
Cleveland Caveliers,No,2014,52,14.9,51.1,75.1
Atlanta Hawks ,No,2014,52.7,14.7,48.2,77.8
Houston Rockets,No,2014,51.2,16.7,49.9,71.5
Cleveland Caveliers,Yes,2015,52.4,14.1,52,74.8
Golden State Warriors,No,2015,56.3,14.9,51.3,76.3
Toronto Raptors,No,2015,50.4,13.6,51.6,77.7
Oklahoma City Thunder,No,2015,52.4,15.9,54.7,78.2
Golden State Warriors,Yes,2016,56.3,14.4,50.5,78.8
Cleveland Caveliers,No,2016,54.7,13.7,49.7,74.8
Boston Celtics,No,2016,52.5,13.3,48.5,80.7
San Antonio Spurs ,No,2016,52.4,13.9,51.4,79.7